기준연도,자치구명,총_가구_수,1인_가구_수,점포_수,폐업_점포_수,1인가구_비중,1인가구비중_증가율,폐업_증가율,sh_closure_growth_ratio
2024,서대문구,585588,56770,357.4117647058824,944,0.0969452925947936,0.0011081442402827157,0.004255319148936065,3.840040848698925
2025,서대문구,585588,57376,348.19117647058823,871,0.09798014986645902,0.010674652104985194,-0.07733050847457623,-7.244311825250205
2019,서초구,687057,42667,574.6323529411765,1467,0.062101106603964444,,,
2020,서초구,683596,43942,586.7058823529412,1314,0.06428065699623754,0.03509680441240248,-0.10429447852760731,-2.971623208258579
2021,서초구,692848,45933,593.4558823529412,1294,0.06629592637923469,0.031351101204754483,-0.015220700152207,-0.4854917233305584
2022,서초구,692848,46745,597.6470588235294,1209,0.06746790060734822,0.017677922191017492,-0.06568778979907264,-3.7158094197546543
2023,서초구,688913,48756,598.7794117647059,1399,0.07077236167701872,0.04897827025776169,0.15715467328370547,3.2086611563992675
2024,서초구,677108,49443,601.0735294117648,1328,0.07302084748666388,0.03177067652350618,-0.05075053609721225,-1.5974018072817378
2025,서초구,677108,50140,593.1470588235294,1153,0.07405022537025113,0.014097041037153923,-0.1317771084337349,-9.347855914331625
2019,성동구,543403,41488,406.54411764705884,952,0.07634849273927453,,,
2020,성동구,542566,42585,426.55882352941177,893,0.07848814706413598,0.028024840413919394,-0.06197478991596639,-2.211423472912435
2021,성동구,543148,44946,445.38235294117646,923,0.08275092608276197,0.05431111802324362,0.03359462486002229,0.6185588896484279
2022,성동구,543148,46548,460.6617647058824,870,0.08570039841811072,0.035642771325590905,-0.057421451787649014,-1.6110265743118966
2023,성동구,539929,48111,473.4117647058824,971,0.08910616025440382,0.039740326756443345,0.11609195402298855,2.921263197821237
2024,성동구,530272,48442,476.1470588235294,1120,0.09135311689095407,0.025216625092306044,0.15345005149330593,6.085273145458539
2025,성동구,530272,48775,465.8382352941176,1000,0.09198109649387484,0.006874200074315828,-0.1071428571428571,-15.586229086228736
2019,성북구,739227,57832,353.45588235294116,1005,0.07823307319673117,,,
2020,성북구,741529,61510,359.3382352941176,905,0.08295022851432649,0.06029617813598054,-0.09950248756218905,-1.65022876471192
2021,성북구,780160,64985,370.45588235294116,860,0.08329701599671863,0.004180669403849091,-0.04972375690607733,-11.893730908331875
2022,성북구,780160,67222,379.0,822,0.08616437653814601,0.03442332846041385,-0.04418604651162794,-1.283607614017948
2023,성북구,781619,69148,385.1029411764706,995,0.08846765495721061,0.0267312143556786,0.2104622871046229,7.873278194707742
2024,성북구,785996,70230,384.55882352941177,1059,0.08935159975368831,0.009991728580408754,0.06432160804020093,6.437485518403621
2025,성북구,785996,71329,375.5882352941176,890,0.09074982569885852,0.01564858322654139,-0.15958451369216242,-10.198016739399952
2019,송파구,1080679,68861,825.3529411764706,1875,0.06372012410715855,,,
2020,송파구,1115935,73694,861.9852941176471,1866,0.06603789647246479,0.03637426005963862,-0.0048000000000000265,-0.13196144724676262
2021,송파구,1127056,79262,888.1323529411765,1781,0.07032658536931617,0.06494284533486927,-0.04555198285101825,-0.7014164934741528
2022,송파구,1127056,82473,908.9558823529412,1833,0.07317560085745517,0.04051121596729823,0.029197080291970767,0.7207159695117386
2023,송파구,1130707,87140,923.4558823529412,2225,0.07706682633078242,0.05317654283300377,0.21385706492089462,4.021642881006646
2024,송파구,1141660,89720,917.0588235294117,2153,0.07858732021792827,0.019729551086217878,-0.032359550561797734,-1.6401564546697958
2025,송파구,1141660,92376,891.4852941176471,2027,0.08091375716062575,0.029603209986625023,-0.05852299117510451,-1.9769136928578248
2019,양천구,700004,36345,308.8235294117647,940,0.05192113187924641,,,
2020,양천구,711279,39436,321.63235294117646,839,0.0554437850688689,0.0678462325862843,-0.10744680851063826,-1.583681280666416
2021,양천구,722124,42973,338.45588235294116,816,0.059509170170220074,0.07332445099665175,-0.0274135876042908,-0.3738669329490459
2022,양천구,722124,45502,350.3235294117647,911,0.06301133877284233,0.05885090638307755,0.11642156862745101,1.9782459741508378
2023,양천구,722014,47106,354.8529411764706,1059,0.06524250222294858,0.03540891994295925,0.1624588364434687,4.588076583673719
2024,양천구,721684,47886,348.27941176470586,1054,0.06635314070978433,0.01702323560553287,-0.0047214353163361755,-0.2773524038404086
2025,양천구,721684,48679,335.02941176470586,868,0.06745195958341878,0.016560163722173504,-0.17647058823529416,-10.656331132705285
2019,영등포구,676165,58214,570.9852941176471,1614,0.0860943704569151,,,
2020,영등포구,700701,64000,587.8823529411765,1466,0.09133710384315136,0.0608951939413962,-0.09169764560099136,-1.5058273020566872
2021,영등포구,737952,69806,604.0735294117648,1365,0.09459422835089545,0.035660474995324876,-0.06889495225102316,-1.9319695618203445
2022,영등포구,737952,73962,616.5294117647059,1339,0.10022603096136334,0.05953642953327787,-0.01904761904761909,-0.3199321692103224
2023,영등포구,742911,77895,630.6911764705883,1621,0.10485105214487335,0.04614590779607863,0.21060492905153105,4.563891775240529
2024,영등포구,757788,79698,639.8823529411765,1538,0.10517189504188507,0.003059987386377472,-0.05120296113510181,-16.733062810339817
2025,영등포구,757788,81543,633.0,1506,0.10760661293132116,0.02314989083791308,-0.020806241872561748,-0.8987619863194739
2019,용산구,429210,35148,357.69117647058823,913,0.08188998392395332,,,
2020,용산구,439280,36881,366.29411764705884,953,0.08395784010198507,0.025251637366934254,0.04381161007667034,1.7350007621303571
2021,용산구,450224,39270,371.6470588235294,839,0.08722324887167276,0.03889343467770434,-0.11962224554039869,-3.0756410826573806
2022,용산구,450224,41437,385.9117647058824,749,0.09203640854330289,0.05518207282913168,-0.10727056019070325,-1.9439385780751797
2023,용산구,445332,42482,398.80882352941177,840,0.09539399818562332,0.03648110237527025,0.12149532710280364,3.3303633715071808
2024,용산구,430656,40445,402.95588235294116,956,0.09391486476445238,-0.015505518683604724,0.13809523809523805,-8.906199199982755
2025,용산구,430656,38506,398.63235294117646,824,0.0894124312676475,-0.047941649153171007,-0.13807531380753135,2.8800701737728733
2019,은평구,816563,52814,356.72058823529414,1111,0.06467841428034334,,,
2020,은평구,829796,57853,371.8235294117647,994,0.06971954552685239,0.07794147866177847,-0.10531053105310528,-1.351148744689498
2021,은평구,854996,62447,389.8529411764706,974,0.07303776859774783,0.04759387121388259,-0.02012072434607648,-0.4227587257118831
2022,은평구,854996,65769,401.8235294117647,1002,0.07692316689200886,0.05319711115025538,0.028747433264887157,0.5403946312740546
2023,은평구,856758,68850,400.95588235294116,1244,0.08036108212587452,0.04469284576767474,0.2415169660678642,5.403929016365023
2024,은평구,862044,70568,396.5147058823529,1233,0.08186125070182032,0.018667849365144207,-0.008842443729903504,-0.4736723313406272
2025,은평구,862044,72329,379.45588235294116,1071,0.0839040698618632,0.024954653667384807,-0.13138686131386856,-5.265024434524144
2019,종로구,292703,24671,474.8529411764706,1193,0.08428680266345066,,,
2020,종로구,295273,25983,477.1764705882353,1128,0.08799653202290761,0.0440131698229147,-0.05448449287510482,-1.2379134039725175
2021,종로구,299740,27308,475.5,1014,0.09110562487489157,0.03533199298325296,-0.10106382978723405,-2.8604055773230055
2022,종로구,299740,28424,481.94117647058823,897,0.09482885167144858,0.04086714515892775,-0.11538461538461542,-2.8234077750206814
2023,종로구,296462,29334,491.1029411764706,1042,0.09894691393837995,0.043426258932240724,0.16164994425863988,3.722400875259991
2024,종로구,286628,29779,494.7352941176471,1050,0.10389424620065033,0.049999864223672086,0.007677543186180413,0.15355128069618906
2025,종로구,286628,30231,493.38235294117646,977,0.10547120309251015,0.015178481480237593,-0.06952380952380954,-4.580419300463597
2019,중구,236546,22078,503.8970588235294,1039,0.0933349116028172,,,
2020,중구,247926,22818,512.5441176470588,1162,0.09203552672975,-0.013921745365728544,0.11838306063522608,-8.50346400722514
2021,중구,253500,24544,508.4117647058824,988,0.09682051282051282,0.051990641666161075,-0.14974182444061968,-2.880168808112278
2022,중구,253500,25247,512.5294117647059,912,0.09959368836291914,0.02864243807040423,-0.07692307692307687,-2.685633001422468
2023,중구,254568,28293,523.7647058823529,1071,0.11114122749127935,0.11594649538714741,0.17434210526315796,1.5036427334955367
2024,중구,257772,28968,532.1176470588235,1057,0.1123783808947442,0.011131363503807945,-0.013071895424836555,-1.174330118710504
2025,중구,257772,29659,532.2794117647059,988,0.11505904442685784,0.023853907760287063,-0.06527909176915803,-2.736620449159163
2019,중랑구,718083,52196,333.5882352941176,967,0.07268797618102643,,,
2020,중랑구,727836,56605,344.8382352941176,949,0.07777164086415071,0.06993817891508791,-0.018614270941054833,-0.26615321173367207
2021,중랑구,743148,60487,359.63235294117646,868,0.08139293922610301,0.046563224354207344,-0.0853530031612223,-1.8330561155288636
2022,중랑구,743148,64334,371.0147058823529,909,0.08656956622368626,0.0636004430704118,0.047235023041474644,0.7426838676136414
2023,중랑구,745069,66906,375.77941176470586,1076,0.08979839451111239,0.03729749874318644,0.18371837183718376,4.925755828887739
2024,중랑구,750832,69149,379.3970588235294,1009,0.09209650094828137,0.02559184325822872,-0.06226765799256506,-2.4331056330826706
2025,중랑구,750832,71467,369.25,992,0.09518374283461546,0.03352181521063202,-0.01684836471754214,-0.5026089611101487
