연도,분기,자치구,전체_점포수,프랜차이즈_점포수,프랜차이즈_비율(%)
2019,3분기,관악구,5659,1090,19.26
2019,3분기,광진구,5129,1042,20.32
2019,3분기,구로구,4996,1055,21.12
2019,3분기,금천구,3523,794,22.54
2019,3분기,노원구,4576,1078,23.56
2019,3분기,도봉구,3000,521,17.37
2019,3분기,동대문구,4893,845,17.27
2019,3분기,동작구,4204,951,22.62
2019,3분기,마포구,9373,1493,15.93
2019,3분기,서대문구,4524,865,19.12
2019,3분기,서초구,7341,1502,20.46
2019,3분기,성동구,4221,825,19.55
2019,3분기,성북구,4721,943,19.97
2019,3분기,송파구,8294,1887,22.75
2019,3분기,양천구,3983,889,22.32
2019,3분기,영등포구,7340,1390,18.94
2019,3분기,용산구,5062,712,14.07
2019,3분기,은평구,4634,860,18.56
2019,3분기,종로구,6945,1053,15.16
2019,3분기,중구,6417,1238,19.29
2019,3분기,중랑구,4235,729,17.21
2019,4분기,강남구,12982,2555,19.68
2019,4분기,강동구,5286,1053,19.92
2019,4분기,강북구,3926,660,16.81
2019,4분기,강서구,6654,1589,23.88
2019,4분기,관악구,5728,1110,19.38
2019,4분기,광진구,5177,1044,20.17
2019,4분기,구로구,4978,1047,21.03
2019,4분기,금천구,3600,823,22.86
2019,4분기,노원구,4641,1107,23.85
2019,4분기,도봉구,3029,542,17.89
2019,4분기,동대문구,4936,856,17.34
2019,4분기,동작구,4225,956,22.63
2019,4분기,마포구,9475,1503,15.86
2019,4분기,서대문구,4555,868,19.06
2019,4분기,서초구,7417,1523,20.53
2019,4분기,성동구,4298,861,20.03
2019,4분기,성북구,4719,945,20.03
2019,4분기,송파구,8401,1906,22.69
2019,4분기,양천구,4017,903,22.48
2019,4분기,영등포구,7439,1408,18.93
2019,4분기,용산구,5118,717,14.01
2019,4분기,은평구,4683,871,18.6
2019,4분기,종로구,6981,1066,15.27
2019,4분기,중구,6484,1268,19.56
2019,4분기,중랑구,4272,744,17.42
2020,1분기,강남구,12942,2571,19.87
2020,1분기,강동구,5311,1066,20.07
2020,1분기,강북구,3945,677,17.16
2020,1분기,강서구,6677,1614,24.17
2020,1분기,관악구,5747,1123,19.54
2020,1분기,광진구,5230,1062,20.31
2020,1분기,구로구,4996,1069,21.4
2020,1분기,금천구,3596,833,23.16
2020,1분기,노원구,4657,1112,23.88
2020,1분기,도봉구,3020,540,17.88
2020,1분기,동대문구,4949,867,17.52
2020,1분기,동작구,4261,970,22.76
2020,1분기,마포구,9507,1529,16.08
2020,1분기,서대문구,4528,869,19.19
2020,1분기,서초구,7433,1539,20.7
2020,1분기,성동구,4365,867,19.86
2020,1분기,성북구,4721,960,20.33
2020,1분기,송파구,8492,1940,22.85
2020,1분기,양천구,4038,912,22.59
2020,1분기,영등포구,7466,1434,19.21
2020,1분기,용산구,5123,721,14.07
2020,1분기,은평구,4737,895,18.89
2020,1분기,종로구,6976,1070,15.34
2020,1분기,중구,6511,1293,19.86
2020,1분기,중랑구,4281,742,17.33
2020,2분기,강남구,13102,2597,19.82
2020,2분기,강동구,5408,1092,20.19
2020,2분기,강북구,4016,677,16.86
2020,2분기,강서구,6809,1644,24.14
2020,2분기,관악구,5828,1130,19.39
2020,2분기,광진구,5321,1091,20.5
2020,2분기,구로구,5084,1089,21.42
2020,2분기,금천구,3628,847,23.35
2020,2분기,노원구,4722,1134,24.02
2020,2분기,도봉구,3059,543,17.75
2020,2분기,동대문구,5002,884,17.67
2020,2분기,동작구,4276,972,22.73
2020,2분기,마포구,9623,1554,16.15
2020,2분기,서대문구,4569,882,19.3
2020,2분기,서초구,7464,1548,20.74
2020,2분기,성동구,4431,873,19.7
2020,2분기,성북구,4758,972,20.43
2020,2분기,송파구,8642,1967,22.76
2020,2분기,양천구,4110,931,22.65
2020,2분기,영등포구,7551,1457,19.3
2020,2분기,용산구,5164,739,14.31
2020,2분기,은평구,4809,911,18.94
2020,2분기,종로구,6966,1069,15.35
2020,2분기,중구,6563,1291,19.67
2020,2분기,중랑구,4345,757,17.42
2020,3분기,강남구,13313,2623,19.7
2020,3분기,강동구,5509,1132,20.55
2020,3분기,강북구,4038,689,17.06
2020,3분기,강서구,6946,1656,23.84
2020,3분기,관악구,5942,1160,19.52
2020,3분기,광진구,5359,1105,20.62
2020,3분기,구로구,5197,1128,21.7
2020,3분기,금천구,3676,852,23.18
2020,3분기,노원구,4774,1155,24.19
2020,3분기,도봉구,3097,561,18.11
2020,3분기,동대문구,5061,893,17.64
2020,3분기,동작구,4305,983,22.83
2020,3분기,마포구,9670,1563,16.16
2020,3분기,서대문구,4615,910,19.72
2020,3분기,서초구,7511,1555,20.7
2020,3분기,성동구,4515,893,19.78
2020,3분기,성북구,4809,987,20.52
2020,3분기,송파구,8745,1988,22.73
2020,3분기,양천구,4169,969,23.24
2020,3분기,영등포구,7642,1504,19.68
2020,3분기,용산구,5184,750,14.47
2020,3분기,은평구,4896,942,19.24
2020,3분기,종로구,6969,1063,15.25
2020,3분기,중구,6518,1274,19.55
2020,3분기,중랑구,4427,794,17.94
2020,4분기,강남구,13437,2647,19.7
2020,4분기,강동구,5623,1182,21.02
2020,4분기,강북구,4082,706,17.3
2020,4분기,강서구,7125,1722,24.17
2020,4분기,관악구,6052,1185,19.58
2020,4분기,광진구,5452,1125,20.63
2020,4분기,구로구,5248,1176,22.41
2020,4분기,금천구,3717,873,23.49
2020,4분기,노원구,4835,1186,24.53
2020,4분기,도봉구,3154,565,17.91
2020,4분기,동대문구,5113,925,18.09
2020,4분기,동작구,4360,1009,23.14
2020,4분기,마포구,9764,1589,16.27
2020,4분기,서대문구,4627,925,19.99
2020,4분기,서초구,7546,1567,20.77
2020,4분기,성동구,4633,937,20.22
2020,4분기,성북구,4890,1018,20.82
2020,4분기,송파구,8870,2016,22.73
2020,4분기,양천구,4235,977,23.07
2020,4분기,영등포구,7721,1540,19.95
2020,4분기,용산구,5209,753,14.46
2020,4분기,은평구,5010,983,19.62
2020,4분기,종로구,6944,1057,15.22
2020,4분기,중구,6498,1271,19.56
2020,4분기,중랑구,4495,816,18.15
2021,1분기,강남구,13538,2668,19.71
